seriesuid,coordX,coordY,coordZ,diameter_mm
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-131.8964945,-155.0567015,-317.8,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,80.7987355,-109.2950005,-123.4,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-62.2871465,-55.1543965,-283.6,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,83.3768595,-58.3770515,-236.8,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-41.0176235,-60.3106445,-240.4,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-65.5098015,-174.3926315,-137.8,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-60.3535535,-53.2208035,-278.2,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,70.4862395,-120.2520275,-107.2,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,113.0252855,-83.5137605,-191.8,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,81.4432665,-109.9395315,-123.4,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,74.9979565,-182.1270035,-128.8,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-82.2676075,-191.7949685,-172,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,103.780294,-211.8600242,-227.0425,4.630483982
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-128.4918745,-175.2539742,-298.5707574,5.441646827
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-131.8964945,-155.0567015,-317.8,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,55.6620265,-122.8301515,-105.4,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,70.4862395,-118.9629655,-105.4,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,54.3729645,-122.1856205,-107.2,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,71.1307705,-120.2520275,-107.2,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,67.9081155,-106.0723455,-109,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-32.6387205,-102.2051595,-112.6,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,93.6893555,-165.3691975,-130.6,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-65.5098015,-174.3926315,-137.8,-1
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-71.3105805,-175.6816935,-141.4,-1
